piece,axis,config,k,n,beta0_p2,beta0_p3,Delta,giant_p2,giant_p3,DeltaG,V_p2,V_p3,avg_degree_p2,avg_degree_p3,k_over_V_p2,k_over_V_p3,flags
cs1_1pre,beats,A,8,1,11,9,2,0.32,0.263333,0.0567,300,300,10.62,10.113333,0.0267,0.0267,
cs1_1pre,beats,A,8,2,7,2,5,0.723333,0.673333,0.05,300,300,10.1,10.54,0.0267,0.0267,
cs1_1pre,beats,A,8,3,2,2,0,0.673333,0.68,-0.0067,300,300,10.613333,10.42,0.0267,0.0267,
cs1_1pre,beats,A,8,4,2,3,-1,0.67,0.34,0.33,300,300,10.306667,10.733333,0.0267,0.0267,
cs1_1pre,beats,A,8,5,1,3,-2,1.0,0.396667,0.6033,300,300,10.66,10.406667,0.0267,0.0267,
cs1_1pre,beats,A,10,1,7,3,4,0.323333,0.353333,-0.03,300,300,12.633333,12.013333,0.0333,0.0333,
cs1_1pre,beats,A,10,2,1,2,-1,1.0,0.673333,0.3267,300,300,12.166667,13.32,0.0333,0.0333,
cs1_1pre,beats,A,10,3,2,1,1,0.673333,1.0,-0.3267,300,300,13.1,12.98,0.0333,0.0333,
cs1_1pre,beats,A,10,4,2,3,-1,0.67,0.34,0.33,300,300,12.706667,13.38,0.0333,0.0333,
cs1_1pre,beats,A,10,5,1,3,-2,1.0,0.396667,0.6033,300,300,13.026667,12.926667,0.0333,0.0333,
cs1_1pre,beats,A,12,1,5,3,2,0.323333,0.353333,-0.03,300,300,14.8,14.38,0.04,0.04,
cs1_1pre,beats,A,12,2,1,2,-1,1.0,0.673333,0.3267,300,300,14.393333,15.813333,0.04,0.04,
cs1_1pre,beats,A,12,3,2,1,1,0.673333,1.0,-0.3267,300,300,15.413333,15.52,0.04,0.04,
cs1_1pre,beats,A,12,4,2,3,-1,0.67,0.34,0.33,300,300,15.073333,15.94,0.04,0.04,
cs1_1pre,beats,A,12,5,1,3,-2,1.0,0.396667,0.6033,300,300,15.373333,15.56,0.04,0.04,
cs1_1pre,beats,B,8,1,10,8,2,0.313333,0.253333,0.06,300,300,9.966667,9.853333,0.0267,0.0267,
cs1_1pre,beats,B,8,2,7,2,5,0.77,0.673333,0.0967,300,300,9.84,10.62,0.0267,0.0267,
cs1_1pre,beats,B,8,3,3,2,1,0.35,0.68,-0.33,300,300,10.68,10.666667,0.0267,0.0267,
cs1_1pre,beats,B,8,4,3,3,0,0.34,0.34,0.0,300,300,10.553333,10.946667,0.0267,0.0267,
cs1_1pre,beats,B,8,5,1,3,-2,1.0,0.396667,0.6033,300,300,10.833333,10.28,0.0267,0.0267,
cs1_1pre,beats,B,10,1,6,2,4,0.313333,0.68,-0.3667,300,300,12.146667,11.866667,0.0333,0.0333,
cs1_1pre,beats,B,10,2,1,2,-1,1.0,0.673333,0.3267,300,300,12.046667,13.4,0.0333,0.0333,
cs1_1pre,beats,B,10,3,2,2,0,0.673333,0.68,-0.0067,300,300,13.186667,13.36,0.0333,0.0333,
cs1_1pre,beats,B,10,4,2,3,-1,0.67,0.34,0.33,300,300,12.993333,13.666667,0.0333,0.0333,
cs1_1pre,beats,B,10,5,1,3,-2,1.0,0.396667,0.6033,300,300,13.433333,12.753333,0.0333,0.0333,
cs1_1pre,beats,B,12,1,4,1,3,0.333333,1.0,-0.6667,300,300,14.473333,14.393333,0.04,0.04,
cs1_1pre,beats,B,12,2,1,1,0,1.0,1.0,0.0,300,300,14.26,16.0,0.04,0.04,
