piece,variant,axis,config,k,n,beta0_p2,beta0_p3,beta0_p5,beta0_p7,Delta23,Delta25,Delta27,MeanAbsD23_piece_axis,MeanAbsD25_piece_axis,MeanAbsD27_piece_axis,RobustZero23_piece_axis,Existence23_piece_axis,S_piece_axis
bwv1049_mov1,null_A,beats_bin12_cap300,A,8,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,8,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,8,3,1,1,1,0,0,0,1,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,10,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,10,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,10,3,1,1,1,0,0,0,1,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,12,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,12,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,A,12,3,1,1,1,0,0,0,1,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,8,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,8,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,8,3,1,1,1,0,0,0,1,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,10,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,10,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,10,3,1,1,1,0,0,0,1,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,12,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,12,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,B,12,3,1,1,1,0,0,0,1,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,C,8,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,C,8,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,C,8,3,1,1,1,0,0,0,1,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,C,10,1,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
bwv1049_mov1,null_A,beats_bin12_cap300,C,10,2,1,1,1,1,0,0,0,0.0,0.0,0.5,YES,NO,0.0
