piece,texture_group,axis,p,n_levels,mean_frac_SC_pi,mean_frac_AI_pi,mean_frac_both_pi,mean_frac_SC_trunc,mean_frac_AI_trunc,mean_frac_both_trunc,mean_coverage,mean_coh_pi,mean_coh_pi_valid
bwv1007_all,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1007_all,mono,beats,3,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.96193425,0.9619341563786008
bwv1007_cou,mono,beats,2,5,0.0125,1.0,0.0125,0.0,1.0,0.0,0.5,0.496875,0.99375
bwv1007_cou,mono,beats,3,4,0.0,1.0,0.0,0.0,1.0,0.0,0.9228395061728395,0.855967,0.9211860670194003
bwv1007_gig,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1007_gig,mono,beats,3,4,0.046296296296296294,0.9104938271604939,0.024691358024691357,0.046296296296296294,0.9567901234567902,0.024691358024691357,1.0,0.792181,0.7921810699588477
bwv1007_men,mono,beats,2,5,0.1875,1.0,0.1875,0.0,1.0,0.0,0.5,0.453125,0.90625
bwv1007_men,mono,beats,3,4,0.05246913580246913,0.9969135802469136,0.05246913580246913,0.037037037037037035,0.9969135802469136,0.037037037037037035,1.0,0.855967,0.8559670781893004
bwv1007_pre,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1007_pre,mono,beats,3,4,0.009259259259259259,0.9876543209876543,0.009259259259259259,0.009259259259259259,0.9969135802469136,0.009259259259259259,1.0,0.94341575,0.9434156378600823
bwv1007_sar,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1007_sar,mono,beats,3,4,0.009259259259259259,0.9969135802469136,0.006172839506172839,0.009259259259259259,1.0,0.009259259259259259,1.0,0.94547325,0.9454732510288066
bwv1008_all,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1008_all,mono,beats,3,4,0.0,0.9969135802469136,0.0,0.0,0.9969135802469136,0.0,1.0,0.9537037500000001,0.9537037037037037
bwv1008_cou,mono,beats,2,5,0.1,0.9,0.1,0.0,1.0,0.0,0.5,0.425,0.85
bwv1008_cou,mono,beats,3,4,0.033950617283950615,1.0,0.033950617283950615,0.027777777777777776,1.0,0.027777777777777776,1.0,0.8960907499999999,0.8960905349794239
bwv1008_gig,mono,beats,2,5,0.1875,0.9875,0.1875,0.0,1.0,0.0,0.5,0.446875,0.89375
bwv1008_gig,mono,beats,3,4,0.043209876543209874,0.9969135802469136,0.043209876543209874,0.043209876543209874,0.9969135802469136,0.043209876543209874,1.0,0.850823,0.8508230452674896
bwv1008_men,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1008_men,mono,beats,3,4,0.0,0.9969135802469136,0.0,0.0,1.0,0.0,1.0,0.96913575,0.9691358024691358
bwv1008_pre,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1008_pre,mono,beats,3,4,0.006172839506172839,1.0,0.006172839506172839,0.006172839506172839,1.0,0.006172839506172839,1.0,0.973251,0.9732510288065843
bwv1008_sar,mono,beats,2,5,0.15,1.0,0.15,0.025,1.0,0.025,0.5,0.4625,0.925
bwv1008_sar,mono,beats,3,4,0.006172839506172839,0.9969135802469136,0.006172839506172839,0.006172839506172839,1.0,0.006172839506172839,1.0,0.941358,0.941358024691358
bwv1009_all,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1009_all,mono,beats,3,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.97942375,0.9794238683127572
bwv1009_cou,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1009_cou,mono,beats,3,4,0.037037037037037035,0.9814814814814815,0.024691358024691357,0.033950617283950615,0.9845679012345678,0.024691358024691357,1.0,0.88786,0.8878600823045267
bwv1009_men,mono,beats,2,5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0
bwv1009_men,mono,beats,3,4,0.12962962962962962,0.9475308641975309,0.1111111111111111,0.09876543209876543,0.9506172839506173,0.08024691358024691,1.0,0.69547325,0.6954732510288066
bwv1009_pre,mono,beats,2,5,0.3625,1.0,0.3625,0.3625,1.0,0.3625,0.5,0.409375,0.81875
