piece,axis,p,n,n_parents_total,n_parents_included,n_parents_excluded_sparsity,n_SC_pi_holds,n_AI_pi_holds,n_both_pi_hold,frac_SC_pi,frac_AI_pi,frac_both_pi,n_SC_trunc_holds,n_AI_trunc_holds,n_both_trunc_hold,frac_SC_trunc,frac_AI_trunc,frac_both_trunc,coverage,coh_pi_recomputed,coh_pi_reported,coh_pi_valid,coh_grid_recomputed,coh_grid_reported,coh_grid_valid
bwv1007_all,beats,2,1,2,1,1,0,1,0,0.0,1.0,0.0,0,1,0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0
bwv1007_all,beats,2,2,4,2,2,0,2,0,0.0,1.0,0.0,0,2,0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0
bwv1007_all,beats,2,3,8,4,4,0,4,0,0.0,1.0,0.0,0,4,0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0
bwv1007_all,beats,2,4,16,8,8,0,8,0,0.0,1.0,0.0,0,8,0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0
bwv1007_all,beats,2,5,32,16,16,0,16,0,0.0,1.0,0.0,0,16,0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0
bwv1007_all,beats,3,1,3,3,0,0,3,0,0.0,1.0,0.0,0,3,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bwv1007_all,beats,3,2,9,9,0,0,9,0,0.0,1.0,0.0,0,9,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bwv1007_all,beats,3,3,27,27,0,0,27,0,0.0,1.0,0.0,0,27,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bwv1007_all,beats,3,4,81,81,0,0,81,0,0.0,1.0,0.0,0,81,0,0.0,1.0,0.0,1.0,0.8477366255144033,0.847737,0.8477366255144033,0.8559670781893004,0.855967,0.8559670781893004
bwv1007_cou,beats,2,1,2,1,1,0,1,0,0.0,1.0,0.0,0,1,0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0
